"Name","Year","Rating","Runtime","Genre","Number_of_Votes"
"Dial M for Murder",1954,"8.2",105,"Crime, Thriller            ",170168
"Tôkyô monogatari",1953,"8.2",136,"Drama            ",59304
"Rashômon",1950,"8.2",88,"Crime, Drama, Mystery            ",163323
"All About Eve",1950,"8.2",138,"Drama            ",128128
"The Treasure of the Sierra Madre",1948,"8.2",126,"Adventure, Drama, Western            ",121767
"To Be or Not to Be",1942,"8.2",99,"Comedy, Romance, War            ",35169
"The Gold Rush",1925,"8.2",95,"Adventure, Comedy, Drama            ",108421
"Sherlock Jr.",1924,"8.2",45,"Action, Comedy, Romance            ",47470
"Portrait de la jeune fille en feu",2019,"8.1",122,"Drama, Romance            ",82915
"Pink",2016,"8.1",136,"Crime, Drama, Thriller            ",43522
"Three Billboards Outside Ebbing, Missouri",2017,"8.1",115,"Comedy, Crime, Drama            ",480778
"Contratiempo",2016,"8.1",106,"Crime, Drama, Mystery            ",166766
"Ah-ga-ssi",2016,"8.1",145,"Drama, Romance, Thriller            ",134150
"Mommy",2014,"8.1",139,"Drama            ",55180
"Haider",2014,"8.1",160,"Action, Crime, Drama            ",52955
"Logan",2017,"8.1",137,"Action, Drama, Sci-Fi            ",711638
"Room",2015,"8.1",118,"Drama, Thriller            ",402338
"Relatos salvajes",2014,"8.1",122,"Comedy, Drama, Thriller            ",190875
"Soul",2020,"8.1",100,"Animation, Adventure, Comedy            ",297593
"Kis Uykusu",2014,"8.1",196,"Drama            ",50507
"PK",2014,"8.1",153,"Comedy, Drama, Sci-Fi            ",175907
"OMG: Oh My God!",2012,"8.1",125,"Comedy, Drama, Fantasy            ",56468
"The Grand Budapest Hotel",2014,"8.1",99,"Adventure, Comedy, Crime            ",767623
"Gone Girl",2014,"8.1",149,"Drama, Mystery, Thriller            ",934398
"Ôkami kodomo no Ame to Yuki",2012,"8.1",117,"Animation, Drama, Fantasy            ",42953
"Hacksaw Ridge",2016,"8.1",139,"Biography, Drama, History            ",488110
"Inside Out",2015,"8.1",95,"Animation, Adventure, Comedy            ",673839
"Barfi!",2012,"8.1",151,"Comedy, Drama, Romance            ",79941
"12 Years a Slave",2013,"8.1",134,"Biography, Drama, History            ",677102
"Rush",2013,"8.1",123,"Action, Biography, Drama            ",462249
"Ford v Ferrari",2019,"8.1",152,"Action, Biography, Drama            ",353967
"Spotlight",2015,"8.1",129,"Biography, Crime, Drama            ",452808
"Song of the Sea",2014,"8.1",93,"Animation, Adventure, Drama            ",56575
"Kahaani",2012,"8.1",122,"Mystery, Thriller            ",61628
"Prisoners",2013,"8.1",153,"Crime, Drama, Mystery            ",662142
"Mad Max: Fury Road",2015,"8.1",120,"Action, Adventure, Sci-Fi            ",952006
"Warrior",2011,"8.1",140,"Action, Drama, Sport            ",457390
"A Wednesday",2008,"8.1",104,"Action, Crime, Drama            ",77222
"Zack Snyder's Justice League",2021,"8.1",242,"Action, Adventure, Fantasy            ",358667
"Gran Torino",2008,"8.1",116,"Drama            ",753940
"Harry Potter and the Deathly Hallows: Part 2",2011,"8.1",130,"Adventure, Fantasy, Mystery            ",830014
"Dune: Part One",2021,"8.1",155,"Action, Adventure, Drama            ",472443
"Okuribito",2008,"8.1",130,"Drama, Music            ",51174
"CODA",2021,"8.1",111,"Comedy, Drama, Music            ",40886
"Hachi: A Dog's Tale",2009,"8.1",93,"Biography, Drama, Family            ",273048
"Mary and Max.",2009,"8.1",92,"Animation, Comedy, Drama            ",173262
"How to Train Your Dragon",2010,"8.1",98,"Animation, Action, Adventure            ",708695
"Into the Wild",2007,"8.1",148,"Adventure, Biography, Drama            ",605276
"No Country for Old Men",2007,"8.1",122,"Crime, Drama, Thriller            ",925549
"Lage Raho Munna Bhai",2006,"8.1",144,"Comedy, Drama, Romance            ",45925
"V for Vendetta",2005,"8.1",132,"Action, Drama, Sci-Fi            ",1086668
"Dare mo shiranai",2004,"8.1",141,"Drama            ",27031
"Rang De Basanti",2006,"8.1",167,"Comedy, Crime, Drama            ",117511
"Million Dollar Baby",2004,"8.1",132,"Drama, Sport            ",667978
"Hotel Rwanda",2004,"8.1",121,"Biography, Drama, History            ",348014
"G.O.R.A.",2004,"8.1",127,"Adventure, Comedy, Sci-Fi            ",60981
"Before Sunset",2004,"8.1",80,"Drama, Romance            ",253286
"Munna Bhai M.B.B.S.",2003,"8.1",156,"Comedy, Drama            ",79257
"Salinui chueok",2003,"8.1",131,"Crime, Drama, Mystery            ",167198
"Dil Chahta Hai",2001,"8.1",183,"Comedy, Drama, Romance            ",70572
"Kill Bill: Vol. 1",2003,"8.1",111,"Action, Crime, Drama            ",1069042
"Finding Nemo",2003,"8.1",100,"Animation, Adventure, Comedy            ",1003608
"Catch Me If You Can",2002,"8.1",141,"Biography, Crime, Drama            ",918391
"Amores perros",2000,"8.1",154,"Drama, Thriller            ",235276
"Sarfarosh",1999,"8.1",174,"Action, Drama, Thriller            ",25215
"Monsters, Inc.",2001,"8.1",92,"Animation, Adventure, Comedy            ",869955
